,n_agents,Run,Buckets,issues,l_steps,p,CI2,d,o
40,225,3,27,3,1500,0.2,False,0.55,0.1
41,225,3,28,3,1500,0.2,False,0.55,0.1
42,225,3,34,3,1500,0.2,False,0.55,0.1
43,225,3,28,3,1500,0.2,False,0.55,0.1
44,225,3,27,3,1500,0.2,False,0.55,0.1
45,250,3,26,3,1500,0.2,False,0.55,0.1
46,250,3,27,3,1500,0.2,False,0.55,0.1
47,250,3,27,3,1500,0.2,False,0.55,0.1
26,150,3,26,3,1500,0.2,False,0.55,0.1
25,150,3,26,3,1500,0.2,False,0.55,0.1
24,125,3,25,3,1500,0.2,False,0.55,0.1
23,125,3,23,3,1500,0.2,False,0.55,0.1
1,25,3,16,3,1500,0.2,False,0.55,0.1
2,25,3,19,3,1500,0.2,False,0.55,0.1
3,25,3,16,3,1500,0.2,False,0.55,0.1
4,25,3,18,3,1500,0.2,False,0.55,0.1
5,50,3,19,3,1500,0.2,False,0.55,0.1
6,50,3,19,3,1500,0.2,False,0.55,0.1
7,50,3,12,3,1500,0.2,False,0.55,0.1
8,50,3,21,3,1500,0.2,False,0.55,0.1
9,50,3,24,3,1500,0.2,False,0.55,0.1
10,75,3,25,3,1500,0.2,False,0.55,0.1
48,250,3,31,3,1500,0.2,False,0.55,0.1
11,75,3,20,3,1500,0.2,False,0.55,0.1
13,75,3,21,3,1500,0.2,False,0.55,0.1
14,75,3,20,3,1500,0.2,False,0.55,0.1
15,100,3,19,3,1500,0.2,False,0.55,0.1
16,100,3,26,3,1500,0.2,False,0.55,0.1
17,100,3,26,3,1500,0.2,False,0.55,0.1
18,100,3,23,3,1500,0.2,False,0.55,0.1
19,100,3,23,3,1500,0.2,False,0.55,0.1
20,125,3,28,3,1500,0.2,False,0.55,0.1
21,125,3,20,3,1500,0.2,False,0.55,0.1
22,125,3,27,3,1500,0.2,False,0.55,0.1
12,75,3,16,3,1500,0.2,False,0.55,0.1
49,250,3,27,3,1500,0.2,False,0.55,0.1
50,275,3,26,3,1500,0.2,False,0.55,0.1
51,275,3,27,3,1500,0.2,False,0.55,0.1
78,400,3,32,3,1500,0.2,False,0.55,0.1
79,400,3,31,3,1500,0.2,False,0.55,0.1
80,425,3,31,3,1500,0.2,False,0.55,0.1
81,425,3,28,3,1500,0.2,False,0.55,0.1
82,425,3,29,3,1500,0.2,False,0.55,0.1
83,425,3,32,3,1500,0.2,False,0.55,0.1
84,425,3,32,3,1500,0.2,False,0.55,0.1
85,450,3,29,3,1500,0.2,False,0.55,0.1
86,450,3,31,3,1500,0.2,False,0.55,0.1
87,450,3,29,3,1500,0.2,False,0.55,0.1
77,400,3,30,3,1500,0.2,False,0.55,0.1
88,450,3,29,3,1500,0.2,False,0.55,0.1
90,475,3,29,3,1500,0.2,False,0.55,0.1
91,475,3,29,3,1500,0.2,False,0.55,0.1
92,475,3,26,3,1500,0.2,False,0.55,0.1
93,475,3,30,3,1500,0.2,False,0.55,0.1
94,500,3,28,3,1500,0.2,False,0.55,0.1
95,500,3,31,3,1500,0.2,False,0.55,0.1
96,475,3,26,3,1500,0.2,False,0.55,0.1
97,500,3,33,3,1500,0.2,False,0.55,0.1
98,500,3,28,3,1500,0.2,False,0.55,0.1
99,500,3,29,3,1500,0.2,False,0.55,0.1
89,450,3,30,3,1500,0.2,False,0.55,0.1
101,525,3,30,3,1500,0.2,False,0.55,0.1
76,400,3,26,3,1500,0.2,False,0.55,0.1
74,375,3,24,3,1500,0.2,False,0.55,0.1
52,275,3,28,3,1500,0.2,False,0.55,0.1
53,275,3,30,3,1500,0.2,False,0.55,0.1
54,275,3,27,3,1500,0.2,False,0.55,0.1
55,300,3,27,3,1500,0.2,False,0.55,0.1
56,300,3,32,3,1500,0.2,False,0.55,0.1
57,300,3,30,3,1500,0.2,False,0.55,0.1
58,300,3,28,3,1500,0.2,False,0.55,0.1
59,300,3,29,3,1500,0.2,False,0.55,0.1
60,325,3,28,3,1500,0.2,False,0.55,0.1
61,325,3,32,3,1500,0.2,False,0.55,0.1
75,400,3,33,3,1500,0.2,False,0.55,0.1
62,325,3,26,3,1500,0.2,False,0.55,0.1
64,350,3,27,3,1500,0.2,False,0.55,0.1
65,325,3,28,3,1500,0.2,False,0.55,0.1
66,350,3,29,3,1500,0.2,False,0.55,0.1
67,350,3,30,3,1500,0.2,False,0.55,0.1
68,350,3,32,3,1500,0.2,False,0.55,0.1
69,350,3,27,3,1500,0.2,False,0.55,0.1
70,375,3,28,3,1500,0.2,False,0.55,0.1
71,375,3,26,3,1500,0.2,False,0.55,0.1
72,375,3,30,3,1500,0.2,False,0.55,0.1
73,375,3,26,3,1500,0.2,False,0.55,0.1
63,325,3,26,3,1500,0.2,False,0.55,0.1
204,1025,3,30,3,1500,0.2,False,0.55,0.1
